,NAME,STABREV,number_uninsured,percent_uninsured,RACECAT,race_category,time,state,highlight
1225,Alabama,AL,567439,14.2,0,All Races,2014,01,0
1229,Alaska,AK,123604,19.0,0,All Races,2014,02,0
1233,Arizona,AZ,886514,16.1,0,All Races,2014,04,0
1237,Arkansas,AR,336619,13.8,0,All Races,2014,05,0
1241,California,CA,4655102,14.1,0,All Races,2014,06,0
1245,Colorado,CO,535569,11.7,0,All Races,2014,08,0
1249,Connecticut,CT,236861,8.0,0,All Races,2014,09,0
1253,Delaware,DE,70640,9.3,0,All Races,2014,10,0
1257,District of Columbia,DC,32799,5.9,0,All Races,2014,11,0
1261,Florida,FL,3176171,20.2,0,All Races,2014,12,0
1265,Georgia,GA,1549301,18.0,0,All Races,2014,13,0
1269,Hawaii,HI,69936,6.0,0,All Races,2014,15,0
1273,Idaho,ID,216276,15.7,0,All Races,2014,16,0
1277,Illinois,IL,1211871,11.2,0,All Races,2014,17,0
1281,Indiana,IN,768504,14.0,0,All Races,2014,18,0
1285,Iowa,IA,185413,7.3,0,All Races,2014,19,0
1289,Kansas,KS,284342,11.7,0,All Races,2014,20,0
1293,Kentucky,KY,360275,9.9,0,All Races,2014,21,0
1297,Louisiana,LA,661811,16.9,0,All Races,2014,22,0
1301,Maine,ME,131550,12.4,0,All Races,2014,23,0
1305,Maryland,MD,450280,8.9,0,All Races,2014,24,0
1309,Massachusetts,MA,208262,3.8,0,All Races,2014,25,2
1313,Michigan,MI,827968,10.1,0,All Races,2014,26,0
1317,Minnesota,MN,308991,6.7,0,All Races,2014,27,0
1321,Mississippi,MS,424433,17.1,0,All Races,2014,28,0
1325,Missouri,MO,682388,13.7,0,All Races,2014,29,0
1329,Montana,MT,139768,16.8,0,All Races,2014,30,0
1333,Nebraska,NE,173309,11.0,0,All Races,2014,31,0
1337,Nevada,NV,416208,17.3,0,All Races,2014,32,0
1341,New Hampshire,NH,118870,11.0,0,All Races,2014,33,0
1345,New Jersey,NJ,940315,12.6,0,All Races,2014,34,0
1349,New Mexico,NM,295204,17.1,0,All Races,2014,35,1
1353,New York,NY,1654986,10.1,0,All Races,2014,36,0
1357,North Carolina,NC,1254138,15.2,0,All Races,2014,37,0
1361,North Dakota,ND,57168,9.3,0,All Races,2014,38,0
1365,Ohio,OH,947102,9.9,0,All Races,2014,39,0
1369,Oklahoma,OK,576768,17.9,0,All Races,2014,40,0
1373,Oregon,OR,378857,11.6,0,All Races,2014,41,0
1377,Pennsylvania,PA,1047882,10.2,0,All Races,2014,42,0
1381,Rhode Island,RI,74089,8.6,0,All Races,2014,44,0
